title;artist;top genre;year;bpm;energy;danceability ;dB;liveness;valence;duration;acousticness;speechiness ;popularity;country
Mask Off;Future;atl hip hop;2017;150;43;83;-9;17;28;205;1;43;83;US
MIDDLE CHILD;J. Cole;conscious hip hop;2019;124;36;84;-12;27;46;214;15;28;83;US
Mood (feat. iann dior);24kGoldn;cali rap;2021;91;72;70;-4;32;73;141;17;4;83;US
Moth To A Flame (with The Weeknd);Swedish House Mafia;edm;2021;120;66;55;-7;11;11;234;0;4;83;SE
Ms. Jackson;Outkast;atl hip hop;2000;95;81;84;-6;8;61;271;14;27;83;US
My Universe;Coldplay;permanent wave;2021;105;70;59;-6;20;44;228;1;4;83;GB
My Universe;Coldplay;permanent wave;2021;105;71;57;-6;33;47;226;1;4;83;UNKNOWN
No Lie;Sean Paul;dance pop;2018;102;88;74;-3;21;46;221;5;12;83;JM
Party In The U.S.A.;Miley Cyrus;pop;2009;96;70;65;-5;9;47;202;0;4;83;US
Rolling in the Deep;Adele;british soul;2011;105;77;73;-5;5;51;228;14;3;83;GB
SAD!;XXXTENTACION;emo rap;2018;75;61;74;-5;12;47;167;26;14;83;US
Save Your Tears (with Ariana Grande) (Remix);The Weeknd;canadian contemporary r&b;2021;118;83;65;-5;9;59;191;2;3;83;CA
Sex on Fire;Kings of Leon;modern rock;2008;153;91;54;-6;14;37;203;0;5;83;US
Smack That;Akon;dance pop;2006;119;74;94;-5;11;92;212;32;5;83;SN
